%% LAL: 7.1.5 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALFrame: 1.6.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALMetaIO: 2.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALSimulation: 3.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALBurst: 1.5.10 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInspiral: 2.0.4 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALPulsar: 3.1.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInference: 3.0.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALApps: 7.4.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% argv[0]: '/home/m206265/.local/bin/lalapps_ComputeAntennaPattern'
%% argv[1]: '-a'
%% argv[2]: '1.45968'
%% argv[3]: '-d'
%% argv[4]: '0.38422'
%% argv[5]: '--ephemSun=/home/m206265/lalapps_work/data/sun00-19-DE405.dat'
%% argv[6]: '--ephemEarth=/home/m206265/lalapps_work/data/earth00-19-DE405.dat'
%% argv[7]: '-I'
%% argv[8]: 'H1'
%% argv[9]: '-T'
%% argv[10]: '/home/m206265/lalapps_work/data/O2_1_H1_tslist.txt'
%% argv[11]: '--Tsft=1800'
%% argv[12]: '--noiseSqrtShX=0.00751'
%% argv[13]: '-o'
%% argv[14]: 'AntPatt_H1.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
1.4596800  0.3842200  1168034371   0.14247772  -0.48033181
1.4596800  0.3842200  1168036171   0.08773797  -0.48470697
1.4596800  0.3842200  1168037971   0.01076791  -0.47449335
1.4596800  0.3842200  1168046728  -0.49893591  -0.15583736
1.4596800  0.3842200  1168048528  -0.58448946  -0.03779539
1.4596800  0.3842200  1168050328  -0.64797896   0.09168382
1.4596800  0.3842200  1168052128  -0.68452477   0.22767618
1.4596800  0.3842200  1168053928  -0.69090366   0.36459577
1.4596800  0.3842200  1168055728  -0.66576827   0.49650362
1.4596800  0.3842200  1168057528  -0.60979348   0.61746830
1.4596800  0.3842200  1168059328  -0.52560252   0.72190231
1.4596800  0.3842200  1168061128  -0.41764092   0.80491298
1.4596800  0.3842200  1168062928  -0.29188305   0.86259836
1.4596800  0.3842200  1168081860   0.39504826   0.05683130
1.4596800  0.3842200  1168083660   0.31606600  -0.05982870
1.4596800  0.3842200  1168085460   0.22043759  -0.16293857
1.4596800  0.3842200  1168087260   0.11507594  -0.24951607
1.4596800  0.3842200  1168089060   0.00736351  -0.31780392
1.4596800  0.3842200  1168090860  -0.09536534  -0.36732471
1.4596800  0.3842200  1168092660  -0.18631905  -0.39882311
1.4596800  0.3842200  1168094460  -0.25972003  -0.41416967
1.4596800  0.3842200  1168096260  -0.31118309  -0.41614074
1.4596800  0.3842200  1168098060  -0.33800596  -0.40817124
1.4596800  0.3842200  1168127337  -0.16638494  -0.41191921
1.4596800  0.3842200  1168129137  -0.27765748  -0.34916523
1.4596800  0.3842200  1168130937  -0.38826656  -0.26647806
1.4596800  0.3842200  1168132737  -0.49072632  -0.16533545
1.4596800  0.3842200  1168134537  -0.57790732  -0.04848048
1.4596800  0.3842200  1168136337  -0.64350927   0.08019587
1.4596800  0.3842200  1168138137  -0.68253142   0.21583959
1.4596800  0.3842200  1168139937  -0.69158697   0.35290956
1.4596800  0.3842200  1168141737  -0.66917127   0.48548597
1.4596800  0.3842200  1168143537  -0.61578012   0.60762244
1.4596800  0.3842200  1168145337  -0.53386611   0.71368265
1.4596800  0.3842200  1168195855  -0.02285200  -0.35519287
1.4596800  0.3842200  1168200328   0.13445902  -0.40295702
1.4596800  0.3842200  1168202128   0.16776919  -0.42870563
1.4596800  0.3842200  1168203928   0.17753348  -0.45339775
1.4596800  0.3842200  1168209457   0.04930032  -0.48128781
1.4596800  0.3842200  1168217428  -0.40769759  -0.24941739
1.4596800  0.3842200  1168219228  -0.50789279  -0.14518064
1.4596800  0.3842200  1168221028  -0.59159106  -0.02585820
1.4596800  0.3842200  1168222828  -0.65269458   0.10446770
1.4596800  0.3842200  1168224628  -0.68647188   0.24079773
1.4596800  0.3842200  1168230266  -0.59297186   0.64288718
1.4596800  0.3842200  1168232066  -0.50292057   0.74284548
1.4596800  0.3842200  1168233866  -0.39033216   0.82038993
1.4596800  0.3842200  1168235666  -0.26148346   0.87188303
1.4596800  0.3842200  1168237466  -0.12368455   0.89493150
1.4596800  0.3842200  1168239266   0.01517772   0.88857043
1.4596800  0.3842200  1168241066   0.14716390   0.85329664
1.4596800  0.3842200  1168242866   0.26479000   0.79102451
1.4596800  0.3842200  1168244666   0.36152658   0.70500147
1.4596800  0.3842200  1168246466   0.43220249   0.59955657
1.4596800  0.3842200  1168248266   0.47334912   0.47986394
1.4596800  0.3842200  1168250066   0.48341259   0.35161179
1.4596800  0.3842200  1168251866   0.46281686   0.22065015
1.4596800  0.3842200  1168256012   0.31489503  -0.06128968
1.4596800  0.3842200  1168261942  -0.02510492  -0.33502853
1.4596800  0.3842200  1168263742  -0.12489494  -0.37886721
1.4596800  0.3842200  1168265542  -0.21100795  -0.40515393
1.4596800  0.3842200  1168267342  -0.27805045  -0.41605097
1.4596800  0.3842200  1168269142  -0.32213587  -0.41457477
1.4596800  0.3842200  1168270942  -0.34112337  -0.40430480
1.4596800  0.3842200  1168272742  -0.33475137  -0.38908517
1.4596800  0.3842200  1168274542  -0.30465239  -0.37271297
1.4596800  0.3842200  1168276342  -0.25419554  -0.35861957
1.4596800  0.3842200  1168278142  -0.18825835  -0.34960568
1.4596800  0.3842200  1168280199  -0.10169864  -0.34796786
1.4596800  0.3842200  1168281999  -0.02370633  -0.35506856
1.4596800  0.3842200  1168283799   0.04913969  -0.36984050
1.4596800  0.3842200  1168285599   0.11027921  -0.39088506
1.4596800  0.3842200  1168287399   0.15399012  -0.41583240
1.4596800  0.3842200  1168289199   0.17580211  -0.44151694
1.4596800  0.3842200  1168290999   0.17282391  -0.46421602
1.4596800  0.3842200  1168301804  -0.29875618  -0.33509696
1.4596800  0.3842200  1168303604  -0.40839908  -0.24878369
1.4596800  0.3842200  1168306250  -0.55024296  -0.08996474
1.4596800  0.3842200  1168308050  -0.62385911   0.03517319
1.4596800  0.3842200  1168309850  -0.67243129   0.16903062
1.4596800  0.3842200  1168311650  -0.69199848   0.30626744
1.4596800  0.3842200  1168313450  -0.68038374   0.44105425
1.4596800  0.3842200  1168315250  -0.63739687   0.56741339
1.4596800  0.3842200  1168317050  -0.56483883   0.67957002
1.4596800  0.3842200  1168318850  -0.46639761   0.77228838
1.4596800  0.3842200  1168320650  -0.34744185   0.84121591
1.4596800  0.3842200  1168322450  -0.21464419   0.88310999
1.4596800  0.3842200  1168324250  -0.07557555   0.89606637
1.4596800  0.3842200  1168326050   0.06180282   0.87962145
1.4596800  0.3842200  1168327850   0.18964878   0.83475709
1.4596800  0.3842200  1168329650   0.30075848   0.76388299
1.4596800  0.3842200  1168331450   0.38902232   0.67063177
1.4596800  0.3842200  1168333250   0.44982639   0.55966294
1.4596800  0.3842200  1168335050   0.48034707   0.43636641
1.4596800  0.3842200  1168336850   0.47969630   0.30652010
1.4596800  0.3842200  1168338650   0.44900665   0.17595971
1.4596800  0.3842200  1168340450   0.39129063   0.05021334
1.4596800  0.3842200  1168342250   0.31124219  -0.06580670
1.4596800  0.3842200  1168344050   0.21490219  -0.16808596
1.4596800  0.3842200  1168345850   0.10922074  -0.25370243
1.4596800  0.3842200  1168348115  -0.02562211  -0.33529037
1.4596800  0.3842200  1168349915  -0.12535974  -0.37903932
1.4596800  0.3842200  1168359328  -0.32972762  -0.38521627
1.4596800  0.3842200  1168386634  -0.21573552  -0.38637006
1.4596800  0.3842200  1168396526  -0.68107730   0.20796344
1.4596800  0.3842200  1168400102  -0.67179424   0.47638762
1.4596800  0.3842200  1168401902  -0.62052786   0.59944832
1.4596800  0.3842200  1168403702  -0.54051512   0.70682317
1.4596800  0.3842200  1168405502  -0.43592188   0.79348081
1.4596800  0.3842200  1168407302  -0.31250763   0.85534543
1.4596800  0.3842200  1168409102  -0.17723796   0.88953042
1.4596800  0.3842200  1168410902  -0.03783607   0.89449698
1.4596800  0.3842200  1168491517  -0.44538727   0.78719497
1.4596800  0.3842200  1168493317  -0.32328272   0.85124451
1.4596800  0.3842200  1168495117  -0.18870756   0.88779384
1.4596800  0.3842200  1168496917  -0.04934545   0.89520675
1.4596800  0.3842200  1168498717   0.08682563   0.87329346
1.4596800  0.3842200  1168500517   0.21204427   0.82330924
1.4596800  0.3842200  1168503729   0.38695738   0.67343700
1.4596800  0.3842200  1168505529   0.44856265   0.56288707
1.4596800  0.3842200  1168507329   0.47992381   0.43984714
1.4596800  0.3842200  1168652849  -0.62868363   0.04552855
1.4596800  0.3842200  1168654649  -0.67508203   0.17985657
1.4596800  0.3842200  1168656449  -0.69222784   0.31711543
1.4596800  0.3842200  1168658249  -0.67811465   0.45145446
1.4596800  0.3842200  1168660049  -0.63268840   0.57689202
1.4596800  0.3842200  1168661849  -0.55791998   0.68768829
1.4596800  0.3842200  1168663649  -0.45764086   0.77867049
1.4596800  0.3842200  1168665449  -0.33732709   0.84555322
1.4596800  0.3842200  1168688764   0.21162298  -0.17109656
1.4596800  0.3842200  1168690564   0.10576547  -0.25614816
1.4596800  0.3842200  1168692793  -0.02687744  -0.33592534
1.4596800  0.3842200  1168808006   0.17262438  -0.46446407
1.4596800  0.3842200  1168809806   0.14346096  -0.48008546
1.4596800  0.3842200  1168811606   0.08927386  -0.48475555
1.4596800  0.3842200  1168813406   0.01277895  -0.47492117
1.4596800  0.3842200  1168815206  -0.08162069  -0.44768828
1.4596800  0.3842200  1168826846  -0.67265117   0.16989917
1.4596800  0.3842200  1168828646  -0.69202548   0.30713981
1.4596800  0.3842200  1168830446  -0.68020767   0.44189125
1.4596800  0.3842200  1168847840   0.36271402   0.70363933
1.4596800  0.3842200  1168849640   0.43299237   0.59795475
1.4596800  0.3842200  1168851440   0.47371110   0.47810379
1.4596800  0.3842200  1168853240   0.48332843   0.34977040
1.4596800  0.3842200  1168855040   0.46231744   0.21881303
1.4596800  0.3842200  1168856840   0.41308632   0.09089671
1.4596800  0.3842200  1168858640   0.33980325  -0.02882872
1.4596800  0.3842200  1168860440   0.24811152  -0.13602671
1.4596800  0.3842200  1168862240   0.14470848  -0.22739543
1.4596800  0.3842200  1168864040   0.03690078  -0.30083406
1.4596800  0.3842200  1168865840  -0.06791396  -0.35551089
1.4596800  0.3842200  1168867640  -0.16274565  -0.39184037
1.4596800  0.3842200  1168869440  -0.24149594  -0.41140348
1.4596800  0.3842200  1168871240  -0.29935828  -0.41674459
1.4596800  0.3842200  1168873040  -0.33314726  -0.41114911
1.4596800  0.3842200  1168874840  -0.34150192  -0.39834833
1.4596800  0.3842200  1168876640  -0.32494721  -0.38220084
1.4596800  0.3842200  1168878440  -0.28587031  -0.36639085
1.4596800  0.3842200  1168880240  -0.22830281  -0.35411707
1.4596800  0.3842200  1168882040  -0.15764149  -0.34784529
1.4596800  0.3842200  1168883840  -0.08024743  -0.34910977
