%% LAL: 7.1.5 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALFrame: 1.6.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALMetaIO: 2.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALSimulation: 3.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALBurst: 1.5.10 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInspiral: 2.0.4 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALPulsar: 3.1.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInference: 3.0.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALApps: 7.4.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% argv[0]: '/home/m206265/.local/bin/lalapps_ComputeAntennaPattern'
%% argv[1]: '-a'
%% argv[2]: '1.45968'
%% argv[3]: '-d'
%% argv[4]: '0.38422'
%% argv[5]: '--ephemSun=/home/m206265/lalapps_work/data/sun00-19-DE405.dat'
%% argv[6]: '--ephemEarth=/home/m206265/lalapps_work/data/earth00-19-DE405.dat'
%% argv[7]: '-I'
%% argv[8]: 'L1'
%% argv[9]: '-T'
%% argv[10]: '/home/m206265/lalapps_work/data/O2_1_L1_tslist.txt'
%% argv[11]: '--Tsft=1800'
%% argv[12]: '--noiseSqrtShX=0.00751'
%% argv[13]: '-o'
%% argv[14]: 'AntPatt_L1.txt'
%% argv[15]: '-O'
%% argv[16]: 'ABCD_L1.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
1.4596800  0.3842200  1167983370   0.05324188  -0.67260867
1.4596800  0.3842200  1167985170  -0.01804519  -0.59273803
1.4596800  0.3842200  1167986970  -0.06647688  -0.49809781
1.4596800  0.3842200  1167988770  -0.08996269  -0.39317971
1.4596800  0.3842200  1167990570  -0.08800945  -0.28276268
1.4596800  0.3842200  1167992370  -0.06173471  -0.17163393
1.4596800  0.3842200  1167994170  -0.01378760  -0.06431048
1.4596800  0.3842200  1168042723   0.64524722   0.23806694
1.4596800  0.3842200  1168044523   0.72962821   0.14872532
1.4596800  0.3842200  1168046323   0.80160773   0.04630485
1.4596800  0.3842200  1168048123   0.85602081  -0.06595397
1.4596800  0.3842200  1168049923   0.88871050  -0.18402267
1.4596800  0.3842200  1168051723   0.89685476  -0.30329612
1.4596800  0.3842200  1168053523   0.87912548  -0.41884843
1.4596800  0.3842200  1168055323   0.83582759  -0.52571529
1.4596800  0.3842200  1168057123   0.76888216  -0.61918771
1.4596800  0.3842200  1168058923   0.68169475  -0.69507211
1.4596800  0.3842200  1168060723   0.57898343  -0.74997175
1.4596800  0.3842200  1168062523   0.46643436  -0.78145361
1.4596800  0.3842200  1168127743   0.58781224   0.28696239
1.4596800  0.3842200  1168129543   0.67707247   0.20719187
1.4596800  0.3842200  1168131343   0.75758588   0.11276777
1.4596800  0.3842200  1168133143   0.82371223   0.00634064
1.4596800  0.3842200  1168134943   0.87062788  -0.10853761
1.4596800  0.3842200  1168136743   0.89462543  -0.22760113
1.4596800  0.3842200  1168138543   0.89340806  -0.34609672
1.4596800  0.3842200  1168148094   0.50422549  -0.77377206
1.4596800  0.3842200  1168149894   0.38859427  -0.78874773
1.4596800  0.3842200  1168151694   0.27381727  -0.77880400
1.4596800  0.3842200  1168153494   0.16632289  -0.74463147
1.4596800  0.3842200  1168155294   0.07205281  -0.68810034
1.4596800  0.3842200  1168157094  -0.00392288  -0.61210847
1.4596800  0.3842200  1168158894  -0.05772337  -0.52040887
1.4596800  0.3842200  1168160694  -0.08691338  -0.41739023
1.4596800  0.3842200  1168162494  -0.09062922  -0.30778548
1.4596800  0.3842200  1168164294  -0.06963807  -0.19640979
1.4596800  0.3842200  1168166094  -0.02625576  -0.08786230
1.4596800  0.3842200  1168167894   0.03582793   0.01372980
1.4596800  0.3842200  1168169694   0.11180316   0.10494156
1.4596800  0.3842200  1168171494   0.19609162   0.18321756
1.4596800  0.3842200  1168173294   0.28272778   0.24699104
1.4596800  0.3842200  1168175094   0.36577606   0.29572392
1.4596800  0.3842200  1168176894   0.43972665   0.32986748
1.4596800  0.3842200  1168178694   0.49988967   0.35078794
